abstract,field,search_word,title
"  Recurrent Neural Networks (RNNs) were recently successfully used to model the
way neural activity drives task-related behavior in animals, operating under
the implicit assumption that the obtained solutions are universal. Observations
in both neuroscience and machine learning challenge this assumption. Animals
can approach a given task with a variety of strategies, and training machine
learning algorithms introduces the phenomenon of underspecification. These
observations imply that every task is associated with a space of solutions. To
date, the structure of this space is not understood, limiting the approach of
comparing RNNs with neural data. Here, we characterize the space of solutions
associated with various tasks. We first study a simple two-neuron network on a
task that leads to multiple solutions. We trace the nature of the final
solution back to the network's initial connectivity and identify discrete
dynamical regimes that underlie this diversity. We then examine three
neuroscience-inspired tasks: Delayed and interval discrimination, and Time
reproduction. For each task, we find a rich set of solutions. Variability can
be found directly in the neural activity of the networks, and additionally by
testing the trained networks' ability to extrapolate, as a perturbation to a
system often reveals hidden structure. Furthermore, we relate extrapolation
patterns to specific dynamical objects and effective algorithms found by the
networks. We introduce a tool to derive the reduced dynamics of networks by
generating a compact directed graph describing the essence of the dynamics with
regards to behavioral inputs and outputs. Using this representation, we can
partition the solutions to each task into a handful of types and partially
predict them from neural features. Our results shed light on the concept of the
space of solutions and its uses in Machine learning and in Neuroscience.

    ", Neurons and Cognition,recurrent neural networks,Charting and navigating the space of solutions for recurrent neural networks

"  Clustering is a fundamental primitive in unsupervised learning which gives
rise to a rich class of computationally-challenging inference tasks. In this
work, we focus on the canonical task of clustering $d$-dimensional Gaussian
mixtures with unknown (and possibly degenerate) covariance. Recent works (Ghosh
et al.\ '20; Mao, Wein '21; Davis, Diaz, Wang '21) have established lower
bounds against the class of low-degree polynomial methods and the
sum-of-squares (SoS) hierarchy for recovering certain hidden structures planted
in Gaussian clustering instances. Prior work on many similar inference tasks
portends that such lower bounds strongly suggest the presence of an inherent
statistical-to-computational gap for clustering, that is, a parameter regime
where the clustering task is \textit{statistically} possible but no
\textit{polynomial-time} algorithm succeeds.
", Machine Learning,clustering,Lattice-Based Methods Surpass Sum-of-Squares in Clustering
"  Accurate estimation of daily rainfall return levels associated with large
return periods is needed for a number of hydrological planning purposes,
including protective infrastructure, dams, and retention basins. This is
especially relevant at small spatial scales. The ERA-5 reanalysis product
provides seasonal daily precipitation over Europe on a 0.25 x 0.25 grid (about
27 x 27 km). This translates more than 20,000 land grid points and leads to
models with a large number of parameters when estimating return levels. To
bypass this abundance of parameters, we build on the regional frequency
analysis (RFA), a well-known strategy in statistical hydrology. This approach
consists in identifying homogeneous regions, by gathering locations with
similar distributions of extremes up to a normalizing factor and developing
sparse regional models. In particular, we propose a step-by-step blueprint that
leverages a recently developed and fast clustering algorithm to infer return
level estimates over large spatial domains. This enables us to produce maps of
return level estimates of ERA-5 reanalysis daily precipitation over continental
Europe for various return periods and seasons. We discuss limitations and
practical challenges and also provide a git hub repository. We show that a
relatively parsimonious model with only a spatially varying scale parameter can
compete well against statistical models of higher complexity.

    ", Applications,clustering,High return level estimates of daily ERA-5 precipitation in Europe estimated using regionalised extreme value distributions
"  The APOGEE Open Cluster Chemical Abundances and Mapping (OCCAM) survey is
used to probe the chemical evolution of the s-process element cerium in the
Galactic disk. Cerium abundances were derived from measurements of Ce II lines
in the APOGEE spectra using the Brussels Automatic Code for Characterizing High
Accuracy Spectra (BACCHUS) in 218 stars belonging to 42 open clusters. Our
results indicate that, in general, for Ages $<$ 4 Gyr, younger open clusters
have higher [Ce/Fe] and [Ce/$\alpha$-element] ratios than older clusters. In
addition, metallicity segregates open clusters in the [Ce/X]-Age plane (where X
can be H, Fe, and the $\alpha$-elements O, Mg, Si, or Ca). These
metallicity-dependant relations result in [Ce/Fe] and [Ce/$\alpha$] ratios with
age that are not universal clocks. Radial gradients of [Ce/H] and [Ce/Fe]
ratios in open clusters, binned by age, were derived for the first time, with
d[Ce/H]dR$_{GC}$ being negative, while d[Ce/Fe]/dR$_{GC}$ is positive. [Ce/H]
and [Ce/Fe] gradients are approximately constant over time, with the [Ce/Fe]
gradient becoming slightly steeper, changing by $\sim$+0.009
dex-kpc$^{-1}$-Gyr$^{-1}$. Both the [Ce/H] and [Ce/Fe] gradients are shifted to
lower values of [Ce/H] and [Ce/Fe] for older open clusters. The chemical
pattern of Ce in open clusters across the Galactic disk is discussed within the
context of s-process yields from AGB stars, $\sim$Gyr time delays in Ce
enrichment of the interstellar medium, and the strong dependence of Ce
nucleosynthesis on the metallicity of its AGB stellar sources.

    ", Astrophysics of Galaxies,clustering,Exploring the s-process history in the Galactic disk: Cerium abundances and gradients in Open Clusters from the OCCAM/APOGEE sample
"  The $k$-nearest neighbor graph (KNNG) on high-dimensional data is a data
structure widely used in many applications such as similarity search, dimension
reduction and clustering. Due to its increasing popularity, several methods
under the same framework have been proposed in the past decade. This framework
contains two steps, i.e. building an initial KNNG (denoted as \texttt{INIT})
and then refining it by neighborhood propagation (denoted as \texttt{NBPG}).
However, there remain several questions to be answered. First, it lacks a
comprehensive experimental comparison among representative solutions in the
literature. Second, some recently proposed indexing structures, e.g., SW and
HNSW, have not been used or tested for building an initial KNNG. Third, the
relationship between the data property and the effectiveness of \texttt{NBPG}
is still not clear. To address these issues, we comprehensively compare the
representative approaches on real-world high-dimensional data sets to provide
practical and insightful suggestions for users. As the first attempt, we take
SW and HNSW as the alternatives of \texttt{INIT} in our experiments. Moreover,
we investigate the effectiveness of \texttt{NBPG} and find the strong
correlation between the huness phenomenon and the performance of \texttt{NBPG}.

    ", Data Structures and Algorithms,clustering,Revisiting $k$-Nearest Neighbor Graph Construction on High-Dimensional Data : Experiments and Analyses
"  3D Morphable Models (3DMMs) are generative models for face shape and
appearance. However, the shape parameters of traditional 3DMMs satisfy the
multivariate Gaussian distribution while the identity embeddings satisfy the
hypersphere distribution, and this conflict makes it challenging for face
reconstruction models to preserve the faithfulness and the shape consistency
simultaneously. To address this issue, we propose the Sphere Face Model(SFM), a
novel 3DMM for monocular face reconstruction, which can preserve both shape
fidelity and identity consistency. The core of our SFM is the basis matrix
which can be used to reconstruct 3D face shapes, and the basic matrix is
learned by adopting a two-stage training approach where 3D and 2D training data
are used in the first and second stages, respectively. To resolve the
distribution mismatch, we design a novel loss to make the shape parameters have
a hyperspherical latent space. Extensive experiments show that SFM has high
representation ability and shape parameter space's clustering performance.
Moreover, it produces fidelity face shapes, and the shapes are consistent in
challenging conditions in monocular face reconstruction.

    ", Computer Vision and Pattern Recognition,clustering,Sphere Face Model:A 3D Morphable Model with Hypersphere Manifold Latent Space
"  Humans and animals explore their environment and acquire useful skills even
in the absence of clear goals, exhibiting intrinsic motivation. The study of
intrinsic motivation in artificial agents is concerned with the following
question: what is a good general-purpose objective for an agent? We study this
question in dynamic partially-observed environments, and argue that a compact
and general learning objective is to minimize the entropy of the agent's state
visitation estimated using a latent state-space model. This objective induces
an agent to both gather information about its environment, corresponding to
reducing uncertainty, and to gain control over its environment, corresponding
to reducing the unpredictability of future world states. We instantiate this
approach as a deep reinforcement learning agent equipped with a deep
variational Bayes filter. We find that our agent learns to discover, represent,
and exercise control of dynamic objects in a variety of partially-observed
environments sensed with visual observations without extrinsic reward.

    ", Machine Learning,reinforcement learning,Information is Power: Intrinsic Control via Information Capture
"  Recent works in Reinforcement Learning (RL) combine model-free (Mf)-RL
algorithms with model-based (Mb)-RL approaches to get the best from both:
asymptotic performance of Mf-RL and high sample-efficiency of Mb-RL. Inspired
by these works, we propose a hierarchical framework that integrates online
learning for the Mb-trajectory optimization with off-policy methods for the
Mf-RL. In particular, two loops are proposed, where the Dynamic Mirror Descent
based Model Predictive Control (DMD-MPC) is used as the inner loop Mb-RL to
obtain an optimal sequence of actions. These actions are in turn used to
significantly accelerate the outer loop Mf-RL. We show that our formulation is
generic for a broad class of MPC-based policies and objectives, and includes
some of the well-known Mb-Mf approaches. We finally introduce a new algorithm:
Mirror-Descent Model Predictive RL (M-DeMoRL), which uses Cross-Entropy Method
(CEM) with elite fractions for the inner loop. Our experiments show faster
convergence of the proposed hierarchical approach on benchmark MuJoCo tasks. We
also demonstrate hardware training for trajectory tracking in a 2R leg and
hardware transfer for robust walking in a quadruped. We show that the
inner-loop Mb-RL significantly decreases the number of training iterations
required in the real system, thereby validating the proposed approach.

    ", Robotics,reinforcement learning,Dynamic Mirror Descent based Model Predictive Control for Accelerating Robot Learning
"  Deep reinforcement learning (RL) agents are becoming increasingly proficient
in a range of complex control tasks. However, the agent's behavior is usually
difficult to interpret due to the introduction of black-box function, making it
difficult to acquire the trust of users. Although there have been some
interesting interpretation methods for vision-based RL, most of them cannot
uncover temporal causal information, raising questions about their reliability.
To address this problem, we present a temporal-spatial causal interpretation
(TSCI) model to understand the agent's long-term behavior, which is essential
for sequential decision-making. TSCI model builds on the formulation of
temporal causality, which reflects the temporal causal relations between
sequential observations and decisions of RL agent. Then a separate causal
discovery network is employed to identify temporal-spatial causal features,
which are constrained to satisfy the temporal causality. TSCI model is
applicable to recurrent agents and can be used to discover causal features with
high efficiency once trained. The empirical results show that TSCI model can
produce high-resolution and sharp attention masks to highlight task-relevant
temporal-spatial information that constitutes most evidence about how
vision-based RL agents make sequential decisions. In addition, we further
demonstrate that our method is able to provide valuable causal interpretations
for vision-based RL agents from the temporal perspective.

    ", Computer Vision and Pattern Recognition,reinforcement learning,Temporal-Spatial Causal Interpretations for Vision-Based Reinforcement Learning
"  We introduce the dynamic grasp synthesis task: given an object with a known
6D pose and a grasp reference, our goal is to generate motions that move the
object to a target 6D pose. This is challenging, because it requires reasoning
about the complex articulation of the human hand and the intricate physical
interaction with the object. We propose a novel method that frames this problem
in the reinforcement learning framework and leverages a physics simulation,
both to learn and to evaluate such dynamic interactions. A hierarchical
approach decomposes the task into low-level grasping and high-level motion
synthesis. It can be used to generate novel hand sequences that approach,
grasp, and move an object to a desired location, while retaining
human-likeness. We show that our approach leads to stable grasps and generates
a wide range of motions. Furthermore, even imperfect labels can be corrected by
our method to generate dynamic interaction sequences. Video is available at
", Robotics,reinforcement learning,D-Grasp: Physically Plausible Dynamic Grasp Synthesis for Hand-Object Interactions
"  Temporal abstraction in reinforcement learning (RL), offers the promise of
improving generalization and knowledge transfer in complex environments, by
propagating information more efficiently over time. Although option learning
was initially formulated in a way that allows updating many options
simultaneously, using off-policy, intra-option learning (Sutton, Precup &
Singh, 1999), many of the recent hierarchical reinforcement learning approaches
only update a single option at a time: the option currently executing. We
revisit and extend intra-option learning in the context of deep reinforcement
learning, in order to enable updating all options consistent with current
primitive action choices, without introducing any additional estimates. Our
method can therefore be naturally adopted in most hierarchical RL frameworks.
When we combine our approach with the option-critic algorithm for option
discovery, we obtain significant improvements in performance and
data-efficiency across a wide variety of domains.

    ", Machine Learning,reinforcement learning,Flexible Option Learning
"  Hierarchical reinforcement learning (HRL) holds great potential for
sample-efficient learning on challenging long-horizon tasks. In particular,
letting a higher level assign subgoals to a lower level has been shown to
enable fast learning on difficult problems. However, such subgoal-based methods
have been designed with static reinforcement learning environments in mind and
consequently struggle with dynamic elements beyond the immediate control of the
agent even though they are ubiquitous in real-world problems. In this paper, we
introduce Hierarchical reinforcement learning with Timed Subgoals (HiTS), an
HRL algorithm that enables the agent to adapt its timing to a dynamic
environment by not only specifying what goal state is to be reached but also
when. We discuss how communicating with a lower level in terms of such timed
subgoals results in a more stable learning problem for the higher level. Our
experiments on a range of standard benchmarks and three new challenging dynamic
reinforcement learning environments show that our method is capable of
sample-efficient learning where an existing state-of-the-art subgoal-based HRL
method fails to learn stable solutions.

    ", Machine Learning,reinforcement learning,Hierarchical Reinforcement Learning with Timed Subgoals

"  With an increase of dataset availability, the potential for learning from a
variety of data sources has increased. One particular method to improve
learning from multiple data sources is to embed the data source during
training. This allows the model to learn generalizable features as well as
distinguishing features between datasets. However, these dataset embeddings
have mostly been used before contextualized transformer-based embeddings were
introduced in the field of Natural Language Processing. In this work, we
compare two methods to embed datasets in a transformer-based multilingual
dependency parser, and perform an extensive evaluation. We show that: 1)
embedding the dataset is still beneficial with these models 2) performance
increases are highest when embedding the dataset at the encoder level 3)
unsurprisingly, we confirm that performance increases are highest for small
datasets and datasets with a low baseline score. 4) we show that training on
the combination of all datasets performs similarly to designing smaller
clusters based on language-relatedness.

    ", Computation and Language,natural language processing,"Parsing with Pretrained Language Models, Multiple Datasets, and Dataset Embeddings"
"  Deep learning has recently made remarkable progress in natural language
processing. Yet, the resulting algorithms remain far from competing with the
language abilities of the human brain. Predictive coding theory offers a
potential explanation to this discrepancy: while deep language algorithms are
optimized to predict adjacent words, the human brain would be tuned to make
long-range and hierarchical predictions. To test this hypothesis, we analyze
the fMRI brain signals of 304 subjects each listening to 70min of short
stories. After confirming that the activations of deep language algorithms
linearly map onto those of the brain, we show that enhancing these models with
long-range forecast representations improves their brain-mapping. The results
further reveal a hierarchy of predictions in the brain, whereby the
fronto-parietal cortices forecast more abstract and more distant
representations than the temporal cortices. Overall, this study strengthens
predictive coding theory and suggests a critical role of long-range and
hierarchical predictions in natural language processing.

    ", Neurons and Cognition,natural language processing,Long-range and hierarchical language predictions in brains and algorithms
"  In this work, we propose a new and general framework to defend against
backdoor attacks, inspired by the fact that attack triggers usually follow a
\textsc{specific} type of attacking pattern, and therefore, poisoned training
examples have greater impacts on each other during training. We introduce the
notion of the {\it influence graph}, which consists of nodes and edges
respectively representative of individual training points and associated
pair-wise influences. The influence between a pair of training points
represents the impact of removing one training point on the prediction of
another, approximated by the influence function \citep{koh2017understanding}.
Malicious training points are extracted by finding the maximum average
sub-graph subject to a particular size. Extensive experiments on computer
vision and natural language processing tasks demonstrate the effectiveness and
generality of the proposed framework.

    ", Machine Learning,natural language processing,A General Framework for Defending Against Backdoor Attacks via Influence Graph
"  Saliency methods have been widely used to highlight important input features
in model predictions. Most existing methods use backpropagation on a modified
gradient function to generate saliency maps. Thus, noisy gradients can result
in unfaithful feature attributions. In this paper, we tackle this issue and
introduce a {\it saliency guided training}procedure for neural networks to
reduce noisy gradients used in predictions while retaining the predictive
performance of the model. Our saliency guided training procedure iteratively
masks features with small and potentially noisy gradients while maximizing the
similarity of model outputs for both masked and unmasked inputs. We apply the
saliency guided training procedure to various synthetic and real data sets from
computer vision, natural language processing, and time series across diverse
neural architectures, including Recurrent Neural Networks, Convolutional
Networks, and Transformers. Through qualitative and quantitative evaluations,
we show that saliency guided training procedure significantly improves model
interpretability across various domains while preserving its predictive
performance.

    ", Computer Vision and Pattern Recognition,natural language processing,Improving Deep Learning Interpretability by Saliency Guided Training
"  In the past decade, we have witnessed the rise of deep learning to dominate
the field of artificial intelligence. Advances in artificial neural networks
alongside corresponding advances in hardware accelerators with large memory
capacity, together with the availability of large datasets enabled researchers
and practitioners alike to train and deploy sophisticated neural network models
that achieve state-of-the-art performance on tasks across several fields
spanning computer vision, natural language processing, and reinforcement
learning. However, as these neural networks become bigger, more complex, and
more widely used, fundamental problems with current deep learning models become
more apparent. State-of-the-art deep learning models are known to suffer from
issues that range from poor robustness, inability to adapt to novel task
settings, to requiring rigid and inflexible configuration assumptions. Ideas
from collective intelligence, in particular concepts from complex systems such
as self-organization, emergent behavior, swarm optimization, and cellular
systems tend to produce solutions that are robust, adaptable, and have less
rigid assumptions about the environment configuration. It is therefore natural
to see these ideas incorporated into newer deep learning methods. In this
review, we will provide a historical context of neural network research's
involvement with complex systems, and highlight several active areas in modern
deep learning research that incorporate the principles of collective
intelligence to advance its current capabilities. To facilitate a
bi-directional flow of ideas, we also discuss work that utilize modern deep
learning models to help advance complex systems research. We hope this review
can serve as a bridge between complex systems and deep learning communities to
facilitate the cross pollination of ideas and foster new collaborations across
disciplines.

    ", Neural and Evolutionary Computing,natural language processing,Collective Intelligence for Deep Learning: A Survey of Recent Developments
"  Pattern recognition based on a high-dimensional predictor is considered. A
classifier is defined which is based on a Transformer encoder. The rate of
convergence of the misclassification probability of the classifier towards the
optimal misclassification probability is analyzed. It is shown that this
classifier is able to circumvent the curse of dimensionality provided the
aposteriori probability satisfies a suitable hierarchical composition model.
Furthermore, the difference between Transformer classifiers analyzed
theoretically in this paper and Transformer classifiers used nowadays in
practice are illustrated by considering classification problems in natural
language processing.

    ", Statistics Theory,natural language processing,On the rate of convergence of a classifier based on a Transformer encoder

"  Nowadays, due to advanced digital imaging technologies and internet
accessibility to the public, the number of generated digital images has
increased dramatically. Thus, the need for automatic image enhancement
techniques is quite apparent. In recent years, deep learning has been used
effectively. Here, after introducing some recently developed works on image
enhancement, an image enhancement system based on convolutional neural networks
is presented. Our goal is to make an effective use of two available approaches,
convolutional neural network and bilateral grid. In our approach, we increase
the training data and the model dimensions and propose a variable rate during
the training process. The enhancement results produced by our proposed method,
while incorporating 5 different experts, show both quantitative and qualitative
improvements as compared to other available methods.

    ", Image and Video Processing,convolutional neural networks,Image Enhancement via Bilateral Learning
"  We study the problem of recommending items to occasional groups (a.k.a.
cold-start groups), where the occasional groups are formed ad-hoc and
", Information Retrieval,convolutional neural networks,Self-supervised Graph Learning for Occasional Group Recommendation
"  This project focuses on the self-supervised training of convolutional neural
networks (CNNs) and transformer networks for the task of image recognition. A
simple siamese network with different backbones is used in order to maximize
the similarity of two augmented transformed images from the same source image.
In this way, the backbone is able to learn visual information without
supervision. Finally, the method is evaluated on three image recognition
datasets.

    ", Computer Vision and Pattern Recognition,convolutional neural networks,Ablation study of self-supervised learning for image classification
"  Recent advances in the design of neural network architectures, in particular
those specialized in modeling sequences, have provided significant improvements
in speech separation performance. In this work, we propose to use a
bio-inspired architecture called Fully Recurrent Convolutional Neural Network
(FRCNN) to solve the separation task. This model contains bottom-up, top-down
and lateral connections to fuse information processed at various time-scales
represented by \textit{stages}. In contrast to the traditional approach
updating stages in parallel, we propose to first update the stages one by one
in the bottom-up direction, then fuse information from adjacent stages
simultaneously and finally fuse information from all stages to the bottom stage
together. Experiments showed that this asynchronous updating scheme achieved
significantly better results with much fewer parameters than the traditional
synchronous updating scheme. In addition, the proposed model achieved good
balance between speech separation accuracy and computational efficiency as
compared to other state-of-the-art models on three benchmark datasets.

    ", Sound,convolutional neural networks,Speech Separation Using an Asynchronous Fully Recurrent Convolutional Neural Network
"  Predicting wildfire spread is critical for land management and disaster
preparedness. To this end, we present `Next Day Wildfire Spread,' a curated,
large-scale, multivariate data set of historical wildfires aggregating nearly a
decade of remote-sensing data across the United States. In contrast to existing
fire data sets based on Earth observation satellites, our data set combines 2D
fire data with multiple explanatory variables (e.g., topography, vegetation,
weather, drought index, population density) aligned over 2D regions, providing
a feature-rich data set for machine learning. To demonstrate the usefulness of
this data set, we implement a convolutional autoencoder that takes advantage of
the spatial information of this data to predict wildfire spread. We compare the
performance of the neural network with other machine learning models: logistic
regression and random forest. This data set can be used as a benchmark for
developing wildfire propagation models based on remote sensing data for a lead
time of one day.

    ", Computer Vision and Pattern Recognition,convolutional neural networks,Next Day Wildfire Spread: A Machine Learning Data Set to Predict Wildfire Spreading from Remote-Sensing Data
"  Attention mechanism plays a more and more important role in point cloud
analysis and channel attention is one of the hotspots. With so much channel
information, it is difficult for neural networks to screen useful channel
information. Thus, an adaptive channel encoding mechanism is proposed to
capture channel relationships in this paper. It improves the quality of the
representation generated by the network by explicitly encoding the
interdependence between the channels of its features. Specifically, a
channel-wise convolution (Channel-Conv) is proposed to adaptively learn the
relationship between coordinates and features, so as to encode the channel.
Different from the popular attention weight schemes, the Channel-Conv proposed
in this paper realizes adaptability in convolution operation, rather than
simply assigning different weights for channels. Extensive experiments on
existing benchmarks verify our method achieves the state of the arts.

    ", Computer Vision and Pattern Recognition,convolutional neural networks,Adaptive Channel Encoding for Point Cloud Analysis
